ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent
aari1239,Aari,,5.95034,36.5721,aari1239,aiw,Africa
abad1241,Abadi,,-9.03389,146.992,abad1241,kbt,Pacific
abar1238,Mungbam,,6.5805,10.2267,abar1238,mij,Africa
abau1245,Abau,,-3.97222,141.324,abau1245,aau,Pacific
abaz1241,Abaza,,41.1214,42.7273,abaz1241,abq,Europe
abee1242,Abé,,5.59682,-4.38497,abee1242,aba,Africa
aben1249,Abenlen Ayta,,15.4131,120.2,aben1249,abp,Asia
abkh1244,Abkhazian,,43.056218,41.159115,abkh1244,abk,Asia
abro1238,Abron,,7.72094,-2.50289,abro1238,abr,Africa
abua1245,Abu' Arapesh,,-3.461612,142.917031,abua1245,aah,NA
abui1241,Abui,,-8.31058,124.588,abui1241,abz,Asia
abun1252,Abun,,-0.57073,132.416,abun1252,kgr,Asia
acat1239,Acatepec Me'phaa,,17.1034,-99.0602,acat1239,tpx,Americas
acha1249,Longchuan Achang,,24.3479,97.7438,acha1249,acn,Asia
acha1250,Achagua,,4.38649,-72.2005,acha1250,aca,Americas
ache1245,Acheron,,10.8827,30.3187,ache1245,acz,Africa
achi1257,Achinese,,3.90757,96.6032,achi1257,ace,Asia
achu1247,Achumawi,,41.0979,-121.191,achu1247,acv,Americas
acol1236,Acoli,,3.57738,32.5147,acol1236,ach,Africa
adam1253,Adamawa Fulfulde,,8.140326,13.077338,adam1253,fub,Africa
adan1247,Adangme,,5.9437,0.13243,adan1247,ada,Africa
adan1248,Adangbe,,6.50546,0.727155,adan1248,adq,Africa
adan1251,Adang,,-8.18958,124.448,adan1251,adn,Asia
adiv1239,Kotia-Adivasi Oriya-Desiya,,18.1046,82.8487,adiv1239,ort,Asia
adny1235,Adnyamathanha,,-30.1451,138.671,adny1235,adt,Pacific
adon1237,Adonara,,-8.32027,123.159,adon1237,adr,Asia
adyg1241,Adyghe,,44,39.33,adyg1241,ady,Asia
adze1240,Adzera,,-6.39394,146.294,adze1240,adz,Pacific
afar1241,Afar,,12.2281,41.8083,afar1241,aar,Africa
afri1274,Afrikaans,,-22,30,afri1274,afr,Africa
agar1252,Agarabi,,-6.20604,145.917,agar1252,agd,Pacific
aghe1239,Aghem,,6.38956,10.0807,aghe1239,agq,Africa
aghu1254,Aghu Tharnggalu,,-13.735,142.426,aghu1254,ggr,Pacific
aghu1255,Aghu,,-6.34674,140.043,aghu1255,ahh,Asia
aghw1237,Aghwan,,40.374444,47.126667,aghw1237,xag,NA
agua1252,Aguacateco,,15.3307,-91.3153,agua1252,agu,Americas
agua1253,Aguaruna,,-5.30044,-77.9218,agua1253,agr,Americas
agus1235,Agusan Manobo,,8.62731,125.742,agus1235,msm,Asia
agut1237,Agutaynen,,10.5328,119.655,agut1237,agn,Asia
ahan1243,Ahanta,,4.85147,-1.94657,ahan1243,aha,Africa
ahan1244,Àhàn,,7.44139,6.00896,ahan1244,ahn,Africa
aheu1239,Thavung,,17.7655,104.229,aheu1239,thm,Asia
ahom1240,Ahom,,27.2778,88.464,ahom1240,aho,Asia
aime1238,Aimele,,-6.68656,142.656,aime1238,ail,Pacific
ainu1240,Hokkaido Ainu,,43.633654,142.46167,ainu1240,ain,Asia
ainu1251,Ainu (China),,39.2714,76.4209,ainu1251,aib,Asia
ajab1235,Aja (Benin),,7.06634,1.64992,ajab1235,ajg,Africa
ajie1238,Ajië,,-21.3029,165.468,ajie1238,aji,Pacific
ajyi1238,Ajyíninka Apurucayali,,-9.82364,-74.61947,ajyi1238,cpc,Americas
akab1249,Aka-Bea,,12.3782,92.7818,akab1249,abj,Asia
akaj1239,Aka-Jeru,,13.1525,92.9504,akaj1239,akj,Asia
akak1251,Aka-Kora,,12.0944,92.7466,akak1251,ack,Asia
akan1250,Akan,,6.34756,-1.33254,akan1250,aka,Africa
akaw1239,Akawaio,,6.16277,-60.862,akaw1239,ake,Americas
akei1237,Akei,,-15.6377,166.767,akei1237,tsr,Pacific
akha1245,Akha,,21.2309,100.964,akha1245,ahk,Asia
akhv1239,Akhvakh,,42.4003,46.3037,akhv1239,akv,Europe
akka1240,Akkadian,,33.1,44.1,akka1240,akk,NA
akla1241,Aklanon,,11.5543,122.354,akla1241,akl,Asia
akoo1248,Akoose,,4.9243,9.65522,akoo1248,bss,Africa
akoy1238,Akoye,,-7.66067,145.669,akoy1238,miw,Pacific
akun1241,Akuntsu,,-12.8322,-60.9716,akun1241,aqz,NA
alab1237,Alabama,,30.76738,-94.62848,alab1237,akz,Americas
alab1254,Alaba-K'abeena,,7.39014,38.1732,alab1254,alw,Africa
alac1244,Alacatlatzala Mixtec,,17.4944,-98.4674,alac1244,mim,Americas
alag1248,Alagwa,,-4.64148,35.7231,alag1248,wbj,Africa
alam1246,Alamblak,,-4.66307,143.316,alam1246,amp,Pacific
alaw1244,Alawa,,-15.5458,134.282,alaw1244,alh,Pacific
alba1269,Inland-Buhi-Daraga Bikol,,13.1989,123.49,alba1269,bhk,Asia
alek1238,Alekano,,-6.03901,145.387,alek1238,gah,Pacific
aleu1260,Aleut,,52.1228,-174.29,aleu1260,ale,Americas
alge1239,Algerian Arabic,,35.4208,3.23033,alge1239,arq,Africa
algo1255,Algonquin,,47.3876,-77.5258,algo1255,alq,Americas
alor1247,Alorese,,-8.20382,124.264,alor1247,aol,Asia
alse1251,Alsea-Yaquina,,44.408,-123.94,alse1251,aes,Americas
alun1238,Alune,,-3.11477,128.394,alun1238,alp,Asia
alur1250,Alur,,2.36213,31.0016,alur1250,alz,Africa
alut1245,Alutor,,60.3844,165.653,alut1245,alr,Asia
alya1239,Alyawarr,,-21.0427,136.835,alya1239,aly,Pacific
amah1246,Amahuaca,,-10.2012,-72.3208,amah1246,amc,Americas
amam1246,Amam,,-7.849821,146.958832,amam1246,NA,NA
aman1265,Amanab,,-3.51516,141.178,aman1265,amn,Pacific
amap1240,Ama (Papua New Guinea),,-4.20192,141.658,amap1240,amm,Pacific
amar1271,Amurdak,,-11.9876,132.878,amar1271,amg,Pacific
amar1272,Amara,,-5.55778,148.68,amar1272,aie,Pacific
amar1274,Amarakaeri,,-12.4931,-70.5533,amar1274,amr,Americas
amas1236,Ama (Sudan),,12.0993,29.4332,amas1236,nyi,Africa
amba1265,Ambai,,-1.88126,136.526,amba1265,amk,Asia
ambo1250,Ambonese Malay,,-3.71342,128.184,ambo1250,abs,Asia
ambu1247,Ambulas,,-3.7801,143.059,ambu1247,abt,Pacific
amdo1237,Amdo Tibetan,,34.5177,100.485,amdo1237,adx,Asia
amel1241,Amele,,-5.29126,145.687,amel1241,aey,Pacific
amha1245,Amharic,,11.708182,39.543456,amha1245,amh,Africa
amii1238,Ami,,-13.5573,130.04,amii1238,amy,Pacific
amis1246,Amis,,23.0917,121.348,amis1246,ami,Asia
amoo1242,Amo,,10.3229,8.65405,amoo1242,amo,Africa
anam1248,Anamuxra,,-4.63762,144.991,anam1248,imi,Pacific
anci1242,Ancient Greek,,39.8155,21.9129,anci1242,grc,Europe
anci1244,Ancient Hebrew,,31.7761,35.1725,anci1244,hbo,Asia
anci1245,Ancient North Arabian,,NA,NA,anci1245,xna,NA
anda1280,Andaman Creole Hindi,,11.676,92.738,anda1280,hca,Asia
anda1287,Andalusian Arabic,,NA,NA,anda1287,xaa,NA
anei1239,Aneityum,,-20.1864,169.825,anei1239,aty,Pacific
anfi1235,Anfillo,,8.568,34.647,anfi1235,myo,Africa
anga1288,Angami Naga,,25.6841,93.8668,anga1288,njm,Asia
anga1290,Angaataha,,-7.15012,146.352,anga1290,agm,Pacific
anga1292,Angal Heneng,,-6.13347,143.478,anga1292,akh,Pacific
anga1293,Angal,,-6.0127,143.592,anga1293,age,Pacific
angi1238,Angika,,26.0047,85.534,angi1238,anp,Asia
angl1239,Angloromani,,39,-78,angl1239,rme,Americas
