ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
aari1239-CLF,aari1239,CLF,FALSE,CLF-0,,daniel_aberra_aberra_1994;hayward_notes_1990
abad1241-CLF,abad1241,CLF,FALSE,CLF-0,,oa_tentative_nodate
abar1238-CLF,abar1238,CLF,FALSE,CLF-0,,das_gupta_phrase_1977;lovegren_mungbam_2013
abau1245-CLF,abau1245,CLF,TRUE,CLF-1,,lock_abau_2011
abaz1241-CLF,abaz1241,CLF,FALSE,CLF-0,,ketevan_lomtatidze_lomtatidze_1989
abee1242-CLF,abee1242,CLF,FALSE,CLF-0,,gbery_studies_1987
aben1249-CLF,aben1249,CLF,FALSE,CLF-0,,nitsch_ayta_2009
abkh1244-CLF,abkh1244,CLF,FALSE,CLF-0,,cirikba_abkhaz_2003;greppin_abkhaz_1991;hewitt_abkhaz_2010;spruit_abkhaz_1986
abro1238-CLF,abro1238,CLF,FALSE,CLF-0,,dolphyne_brong_1979
abua1245-CLF,abua1245,CLF,FALSE,CLF-0,,nekitel_sociolinguistic_1985
abui1241-CLF,abui1241,CLF,TRUE,CLF-1,,kratochvl_grammar_2007
abun1252-CLF,abun1252,CLF,TRUE,CLF-1,,berry_description_1999
acat1239-CLF,acat1239,CLF,FALSE,CLF-0,,
acha1249-CLF,acha1249,CLF,TRUE,CLF-1,,__1983
acha1250-CLF,acha1250,CLF,TRUE,CLF-1,,wilson_descripcion_1992
ache1245-CLF,ache1245,CLF,FALSE,CLF-0,,alamin_initial_2012
achi1257-CLF,achi1257,CLF,TRUE,CLF-1,,asyik_contextual_1987;durie_grammar_1985
achu1247-CLF,achu1247,CLF,FALSE,CLF-0,,bauman_introduction_1980;de_angulo_achumawi_1930
acol1236-CLF,acol1236,CLF,FALSE,CLF-0,,crazzolara_study_1955;g_a_r_savage_essentials_1956;heine_labwor_2010;joseph_pasquale_crazzolara_study_1938;kitching_outline_1907;kitching_outline_1932;malandra_new_1952
adam1253-CLF,adam1253,CLF,FALSE,CLF-0,,akumbu_language_2010;mukoshy_sounds_1984;pelletier_adamawa_1981;stennes_introduction_1961;stennes_reference_1967;taylor_grammar_1953
adan1247-CLF,adan1247,CLF,FALSE,CLF-0,,dakubu_dangme_1987;zimmermann_grammatical_1858
adan1248-CLF,adan1248,CLF,FALSE,CLF-0,,sprigge_collected_1967
adan1251-CLF,adan1251,CLF,TRUE,CLF-1,,haan_grammar_2001;robinson_adang_2014
adiv1239-CLF,adiv1239,CLF,FALSE,CLF-0,,gauda_study_1989
adny1235-CLF,adny1235,CLF,FALSE,CLF-0,,b_ed_texts_2015;schebeck_texts_1974
adon1237-CLF,adon1237,CLF,FALSE,CLF-0,,michels_western_2017
adyg1241-CLF,adyg1241,CLF,TRUE,CLF-1,,nikolaeva_quantifiers_2012
adze1240-CLF,adze1240,CLF,FALSE,CLF-0,,susanne_morphology_1986
afar1241-CLF,afar1241,CLF,FALSE,CLF-0,,bliese_afar_1976;bliese_generative_1977;bliese_generative_1981;parker_afar-english-french_1985;parker_prerequisities_1979
afri1274-CLF,afri1274,CLF,FALSE,CLF-0,,donaldson_colloquial_2015;donaldson_grammar_1993;michaelis_afrikaans_2013;roberge_formation_2013
agar1252-CLF,agar1252,CLF,FALSE,CLF-0,,loving_higher_1976;richard_loving_notes_1974
aghe1239-CLF,aghe1239,CLF,FALSE,CLF-0,,hyman_aghem_1979
aghu1254-CLF,aghu1254,CLF,FALSE,CLF-0,,jolly_aghu_1989
aghu1255-CLF,aghu1255,CLF,FALSE,CLF-0,,van_den_heuvel_aghu_2016
aghw1237-CLF,aghw1237,CLF,FALSE,CLF-0,,gippert_caucasian_2008
agua1252-CLF,agua1252,CLF,FALSE,CLF-0,,larsen_aguacatec_1983
agua1253-CLF,agua1253,CLF,FALSE,CLF-0,,overall_grammar_2007
agus1235-CLF,agus1235,CLF,FALSE,CLF-0,,verstraelen_elementary_1968
agut1237-CLF,agut1237,CLF,FALSE,CLF-0,,caabay_agutaynen-english_2014;quakenbush_agutaynen_2005;quakenbush_brief_2010
ahan1243-CLF,ahan1243,CLF,FALSE,CLF-0,,mensah_anrindha-erelenza_1973
ahan1244-CLF,ahan1244,CLF,FALSE,CLF-0,,ogunmodimu_grammar_2015;timothy_adeyemi_akanbi_descriptive_2014
aheu1239-CLF,aheu1239,CLF,FALSE,CLF-0,,srisakorn_so_2008
ahom1240-CLF,ahom1240,CLF,TRUE,CLF-1,,moral_north_1997;phukan_introductory_1978
aime1238-CLF,aime1238,CLF,FALSE,CLF-0,,aiton_grammatical_2016
ainu1240-CLF,ainu1240,CLF,TRUE,CLF-1,,
ainu1251-CLF,ainu1251,CLF,FALSE,CLF-0,,hayasi_sayxil_1999;wurm_ejnu_1996
ajab1235-CLF,ajab1235,CLF,FALSE,CLF-0,,morley_grammar_2010
ajie1238-CLF,ajie1238,CLF,FALSE,CLF-0,,lichtenberk_sketch_1978
ajyi1238-CLF,ajyi1238,CLF,FALSE,CLF-0,,payne_phonology_1981
akab1249-CLF,akab1249,CLF,FALSE,CLF-0,,man_lords_1877
akaj1239-CLF,akaj1239,CLF,FALSE,CLF-0,,abbi_grammar_2013;abbi_unique_2012;choudhary_developing_2006;manoharan_descriptive_1989
akak1251-CLF,akak1251,CLF,FALSE,CLF-0,,yadav_great_1985
akan1250-CLF,akan1250,CLF,FALSE,CLF-0,,bellon_tshi_1911;berry_introduction_1975;christaller_grammar_1875;cleland_modern_2009;dolphyne_comprehensive_1996;j_g_christaller_dictionary_1933;marfo_aspects_2005;marfo_aspects_2010;ofori_topics_2006;osam_aspects_1994;redden_twi_1963;welmers_descriptive_1946
akaw1239-CLF,akaw1239,CLF,FALSE,CLF-0,,caesar-fox_zauronodok_2003;walter_f_edwards_short_1980
akei1237-CLF,akei1237,CLF,FALSE,CLF-0,,ray_grammar_1926
akha1245-CLF,akha1245,CLF,TRUE,CLF-1,,thurgood_sino-tibetan_2003
akhv1239-CLF,akhv1239,CLF,FALSE,CLF-0,,creissels_sketch_2020
akka1240-CLF,akka1240,CLF,FALSE,CLF-0,,buccellati_akkadian_1997;caplice_introduction_1980;giacumakis_akkadian_1970;hasselbach_sargonic_2005;huehnergard_akkadian_2019;huehnergard_grammar_1997;huehnergard_grammar_2011;madvig_grammar_1966;marcus_manual_1978;sayce_assyrian_1875;swaim_grammar_1962;ungnad_akkadian_1992;woodington_grammar_1982
akla1241-CLF,akla1241,CLF,FALSE,CLF-0,,chai_grammar_1971;cruz_grammar_1968
akoo1248-CLF,akoo1248,CLF,FALSE,CLF-0,,angenot_transformational_1973;hedinger_grammar_2008
akoy1238-CLF,akoy1238,CLF,FALSE,CLF-0,,whitney_akoye_1991
akun1241-CLF,akun1241,CLF,FALSE,CLF-0,,aragon_grammar_2014
alab1237-CLF,alab1237,CLF,FALSE,CLF-0,,lupardus_language_1982;scancarelli_alabama_2005
alab1254-CLF,alab1254,CLF,FALSE,CLF-0,,schneider-blum_grammar_2007
alac1244-CLF,alac1244,CLF,FALSE,CLF-0,,zylstra_syntactic_1991
alag1248-CLF,alag1248,CLF,FALSE,CLF-0,,hetzron_basic_2001;mous_alagwa_2016
alam1246-CLF,alam1246,CLF,FALSE,CLF-0,,bruce_alamblak_1984;bruce_grammar_1979
alaw1244-CLF,alaw1244,CLF,FALSE,CLF-0,,sharpe_alawa_1972
alba1269-CLF,alba1269,CLF,FALSE,CLF-0,,fincke_sto_2002
alek1238-CLF,alek1238,CLF,FALSE,CLF-0,,deibler_semantic_1976
aleu1260-CLF,aleu1260,CLF,FALSE,CLF-0,,aginsky_critical_1933;bergsland_aleut_1997;bergsland_atkan_1981;geoghegan_aleut_1944;yamakoshi_alutor_2011
alge1239-CLF,alge1239,CLF,FALSE,CLF-0,,brown_phonological_1955;guerrero_preliminary_2015;souag_notes_2005
algo1255-CLF,algo1255,CLF,FALSE,CLF-0,,hanzeli_missionary_1969;schoolcraft_essary_1852
alor1247-CLF,alor1247,CLF,FALSE,CLF-0,,klamer_short_2011
alse1251-CLF,alse1251,CLF,FALSE,CLF-0,,frachtenberg_alsea_1918
alun1238-CLF,alun1238,CLF,TRUE,CLF-1,,
alur1250-CLF,alur1250,CLF,FALSE,CLF-0,,ringe_simple_1953
alut1245-CLF,alut1245,CLF,FALSE,CLF-0,,kibrik_alutor_2004
alya1239-CLF,alya1239,CLF,FALSE,CLF-0,,yallop_alyawarra_1977
amah1246-CLF,amah1246,CLF,FALSE,CLF-0,,clem_agreement_2019;russell_syntactonemics_1959;russell_transformational_1965;sparing-chavez_aspects_2007;sparing-chavez_aspects_2012
amam1246-CLF,amam1246,CLF,FALSE,CLF-0,,aki_tentative_2013
aman1265-CLF,aman1265,CLF,FALSE,CLF-0,,minch_essential_1991;roberts_amanab_1992
amap1240-CLF,amap1240,CLF,FALSE,CLF-0,,arsjo_words_1999
amar1271-CLF,amar1271,CLF,FALSE,CLF-0,,robert_handelsmann_towards_1991
amar1272-CLF,amar1272,CLF,FALSE,CLF-0,,william_ed_amara_1996
amar1274-CLF,amar1274,CLF,TRUE,CLF-1,,
amas1236-CLF,amas1236,CLF,FALSE,CLF-0,,schadeberg_adjectives_1981;stevenson_grammar_1938
amba1265-CLF,amba1265,CLF,FALSE,CLF-0,,silzer_ambai_1983;st-pierre-tanguay_grammar_2007
ambo1250-CLF,ambo1250,CLF,TRUE,CLF-1,,minde_malayu_1997;paauw_ambon_2013
ambu1247-CLF,ambu1247,CLF,FALSE,CLF-0,,draper_ambulas_1968;wilson_abulas_1973;wilson_ambulas_1980
amdo1237-CLF,amdo1237,CLF,TRUE,CLF-1,,shis_ahp_nodate
amel1241-CLF,amel1241,CLF,FALSE,CLF-0,,roberts_amele_1987;roberts_amele_2016
amha1245-CLF,amha1245,CLF,FALSE,CLF-0,,appleyard_colloquial_1995;huehnergard_amharic_2019;isenberg_grammar_1842;leslau_introductory_2000;leslau_reference_1995;wolf_leslau_amharic_1969
amii1238-CLF,amii1238,CLF,FALSE,CLF-0,,ford_description_1998
amis1246-CLF,amis1246,CLF,TRUE,CLF-1,,
amoo1242-CLF,amoo1242,CLF,FALSE,CLF-0,,a_di_luzio_preliminary_1972
anam1248-CLF,anam1248,CLF,FALSE,CLF-0,,andrew_ingram_anamuxra_2001
anci1242-CLF,anci1242,CLF,FALSE,CLF-0,,conybeare_grammar_1905;emde_boas_cambridge_2019;goodwin_greek_1900;morwood_oxford_2002;pratt_essentials_2010;smyth_greek_1920
anci1244-CLF,anci1244,CLF,FALSE,CLF-0,,davidson_introductory_1962;huehnergard_pre-modern_2019;jackson_ammonite_1983;jouon_grammar_1996;segal_grammar_1927;seow_grammar_1987;vandermerwe_biblical_2002;waltke_introduction_1990
anci1245-CLF,anci1245,CLF,FALSE,CLF-0,,al-jallad_outline_2015;huehnergard_safaitic_2019;king_early_1990;kootstra_language_2016;woodard_ancient_2008
anda1280-CLF,anda1280,CLF,FALSE,CLF-0,,sharma_hindi_2005
anda1287-CLF,anda1287,CLF,FALSE,CLF-0,,corriente_descriptive_2013
anei1239-CLF,anei1239,CLF,FALSE,CLF-0,,inglis_dictionary_1882;lynch_anejom_1982;lynch_anejom_2002;lynch_grammar_2000
anfi1235-CLF,anfi1235,CLF,FALSE,CLF-0,,yigezu_anfillo_1995
anga1288-CLF,anga1288,CLF,TRUE,CLF-1,,giridhar_word_1991
anga1290-CLF,anga1290,CLF,FALSE,CLF-0,,eko_tentative_2014
anga1292-CLF,anga1292,CLF,FALSE,CLF-0,,williams_annual_1940
