"glottocode","iso_code","language_name","CLF","longitude","latitude","area","continent","status","family","source"
"aari1239","aiw","Aari",FALSE,36.5721,5.95034,"Africa","Africa","not endangered","South Omotic","daniel_aberra_aberra_1994"
"abad1241","kbt","Abadi",FALSE,146.992,-9.03389,"Papunesia","Pacific","not endangered","Austronesian","oa_tentative_nodate"
"abar1238","mij","Mungbam",FALSE,10.2267,6.5805,"Africa","Africa","shifting","Atlantic-Congo","das_gupta_phrase_1977"
"abau1245","aau","Abau",TRUE,141.324,-3.97222,"Papunesia","Pacific","shifting","Sepik","lock_abau_2011"
"abaz1241","abq","Abaza",FALSE,42.7273,41.1214,"Eurasia","Europe","threatened","Abkhaz-Adyge","ketevan_lomtatidze_lomtatidze_1989"
"abee1242","aba","Abé",FALSE,-4.38497,5.59682,"Africa","Africa","not endangered","Atlantic-Congo","gbery_studies_1987"
"aben1249","abp","Abenlen Ayta",FALSE,120.2,15.4131,"Papunesia","Asia","shifting","Austronesian","nitsch_ayta_2009"
"abkh1244","abk","Abkhazian",FALSE,41.159115,43.056218,"Eurasia","Asia","threatened","Abkhaz-Adyge","spruit_abkhaz_1986"
"abro1238","abr","Abron",FALSE,-2.50289,7.72094,"Africa","Africa","not endangered","Atlantic-Congo","dolphyne_brong_1979"
"abua1245","aah","Abu' Arapesh",FALSE,142.917031,-3.461612,"Papunesia",NA,"shifting","Nuclear Torricelli","nekitel_sociolinguistic_1985"
"abui1241","abz","Abui",TRUE,124.588,-8.31058,"Papunesia","Asia","shifting","Timor-Alor-Pantar","kratochvl_grammar_2007"
"abun1252","kgr","Abun",TRUE,132.416,-0.57073,"Papunesia","Asia","shifting",NA,"berry_description_1999"
"acat1239","tpx","Acatepec Me'phaa",FALSE,-99.0602,17.1034,"North America","Americas","not endangered","Otomanguean",NA
"acha1249","acn","Longchuan Achang",TRUE,97.7438,24.3479,"Eurasia","Asia","shifting","Sino-Tibetan","__1983"
"acha1250","aca","Achagua",TRUE,-72.2005,4.38649,"South America","Americas","shifting","Arawakan","wilson_descripcion_1992"
"ache1245","acz","Acheron",FALSE,30.3187,10.8827,"Africa","Africa","threatened","Narrow Talodi","alamin_initial_2012"
"achi1257","ace","Achinese",TRUE,96.6032,3.90757,"Eurasia","Asia","threatened","Austronesian","asyik_contextual_1987"
"achu1247","acv","Achumawi",FALSE,-121.191,41.0979,"North America","Americas","nearly extinct","Palaihnihan","de_angulo_achumawi_1930"
"acol1236","ach","Acoli",FALSE,32.5147,3.57738,"Africa","Africa","not endangered","Nilotic","kitching_outline_1907"
"adam1253","fub","Adamawa Fulfulde",FALSE,13.077338,8.140326,"Africa","Africa","not endangered","Atlantic-Congo","taylor_grammar_1953"
"adan1247","ada","Adangme",FALSE,0.13243,5.9437,"Africa","Africa","not endangered","Atlantic-Congo","dakubu_dangme_1987"
"adan1248","adq","Adangbe",FALSE,0.727155,6.50546,"Africa","Africa","threatened","Atlantic-Congo","sprigge_collected_1967"
"adan1251","adn","Adang",TRUE,124.448,-8.18958,"Papunesia","Asia","shifting","Timor-Alor-Pantar","robinson_adang_2014"
"adiv1239","ort","Kotia-Adivasi Oriya-Desiya",FALSE,82.8487,18.1046,"Eurasia","Asia","not endangered","Indo-European","gauda_study_1989"
"adny1235","adt","Adnyamathanha",FALSE,138.671,-30.1451,"Australia","Pacific","shifting","Pama-Nyungan","b_ed_texts_2015"
"adon1237","adr","Adonara",FALSE,123.159,-8.32027,"Papunesia","Asia","not endangered","Austronesian","michels_western_2017"
"adyg1241","ady","Adyghe",TRUE,39.33,44,"Eurasia","Asia","threatened","Abkhaz-Adyge","nikolaeva_quantifiers_2012"
"adze1240","adz","Adzera",FALSE,146.294,-6.39394,"Papunesia","Pacific","threatened","Austronesian","susanne_morphology_1986"
"afar1241","aar","Afar",FALSE,41.8083,12.2281,"Africa","Africa","not endangered","Afro-Asiatic","parker_prerequisities_1979"
"afri1274","afr","Afrikaans",FALSE,30,-22,"Africa","Africa","not endangered","Indo-European","michaelis_afrikaans_2013"
"agar1252","agd","Agarabi",FALSE,145.917,-6.20604,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","loving_higher_1976"
"aghe1239","agq","Aghem",FALSE,10.0807,6.38956,"Africa","Africa","not endangered","Atlantic-Congo","hyman_aghem_1979"
"aghu1254","ggr","Aghu Tharnggalu",FALSE,142.426,-13.735,"Australia","Pacific","extinct","Pama-Nyungan","jolly_aghu_1989"
"aghu1255","ahh","Aghu",FALSE,140.043,-6.34674,"Papunesia","Asia","threatened","Nuclear Trans New Guinea","van_den_heuvel_aghu_2016"
"aghw1237","xag","Aghwan",FALSE,47.126667,40.374444,"Eurasia",NA,"extinct","Nakh-Daghestanian","gippert_caucasian_2008"
"agua1252","agu","Aguacateco",FALSE,-91.3153,15.3307,"North America","Americas","threatened","Mayan","larsen_aguacatec_1983"
"agua1253","agr","Aguaruna",FALSE,-77.9218,-5.30044,"South America","Americas","threatened","Chicham","overall_grammar_2007"
"agus1235","msm","Agusan Manobo",FALSE,125.742,8.62731,"Papunesia","Asia","not endangered","Austronesian","verstraelen_elementary_1968"
"agut1237","agn","Agutaynen",FALSE,119.655,10.5328,"Papunesia","Asia","not endangered","Austronesian","quakenbush_brief_2010"
"ahan1243","aha","Ahanta",FALSE,-1.94657,4.85147,"Africa","Africa","not endangered","Atlantic-Congo","mensah_anrindha-erelenza_1973"
